#/inh/user/user.c
SaveDatabase (["no_hurt":1,"famrec":1,"yuanbao":19418,"stone_mp":0,"now_day":161,"login_count":47,"no_visible":1,"tipsstatus":514,"salary":0,"stone_hp":0,"diemthachdau":2,"tips_status":8,"tipstatus":({133196322,2023523,}),"pf.chan":"1000:(56,44)","can_get_prize":1,])
SaveDbase2 (["familyuse":1653893565,"changping":(["score":132,"lose":3,"totalscore":176,"scoretime":5,]),"online_rank":(["start":1654948059,"level":3,"time":118621,]),])
HuynhDe ([])
Gender 1
NoFight 1
StartPlace "80:(318,131)2"
Gift1 (/30,25,25,25,25,/)
Gift2 (/0,0,0,0,0,/)
Hair 1
PersonPhoto 1
HP (/1687,1687,/)
MP (/68,68,/)
AP 295
DP 703
CP 8
PP 594
SP 207
MaxYuan 12
Yuan 12
DamageCount 1
UpgradeExp 27675
Experience 15049706
Potential 152
GiftPoint 240
MaxLevel 60
Level 60
HotKey (["10":"51","9":"61","8":"99",])
Cash 39290860
max_pawn 1
ChatOpen 1
RumorOpen 1
CityOpen 1
OrgOpen 1
FamilyOpen 1
SayOpen 1
TeamOpen 1
TradeOpen 1
IdProtect ""
CurWorkFile "/tran/chietxuat/hoangkim.c"
Legend ({2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
Legend2 ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
Legend3 ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
mpTask ([])
mpQuest ([])
mpFly ([])
mpMascot ([])
mpChBlk ([])
mpLOG (["&npc":20036,"$pay$H":0,"#npc":186,"$get$H":0,"$give2$H":0,"$get$L":90000000,"$buy$L":600000,"$org$L":50000000,"$buy$H":0,"$org$H":0,"$give2$L":0,"$pay$L":1,"*npc":52,"&battle":8004,"#battle":5,])
Strength 137
Jobs ([])
mpPerform (["03643":1653497764,"03643#":0,])
Family (/"Cấm Vệ Quân",0,0,0,0,0,0,/)
Org (/"SucNo",9,0,"Bang Chủ",0,0,1653462157,/)
City (/"Hàn Quốc",1,0,0,0,0,1653462140,/)
FamilyType 3
Skills (["0251":(/60,0,/),"0349":(/60,0,/),"0242":(/60,0,/),"0241":(/60,0,/),"0348":(/60,0,/),])
Skills_0 ([])
Skills_1 ([])
Skills_2 ([])
InvE ({"/item/55/3055;0;0;101;12535;16099;ADD:,bind:4,=:3,+:0,$:10000,;[-]0,0","/item/57/3055;0;0;102;13675;16099;ADD:,bind:4,=:3,+:0,$:10000,;[-]0,0","/item/56/3055;0;0;104;5503;16099;ADD:,bind:4,=:3,+:0,$:10000,;[-]0,0","/item/58/3055;0;0;105;12624;16099;ADD:,bind:4,=:3,+:0,$:10000,;[-]0,0","/item/59/3055;0;0;106;13686;16099;ADD:,bind:4,=:3,+:0,$:10000,;[-]0,0","/item/09/0903;0;1;108;1099;1099;ap%:3,ADD:,=:1,+:1,$:0,;[-]0,0",})
Inv1 ({"/tran/chietxuat/thanhdong;0;0;1;[-]0,0","/tran/chietxuat/thanhdong;0;0;2;[-]0,0","/tran/chietxuat/hoangkim;0;0;3;[-]0,0","/tran/chietxuat/dachietxuat;0;0;4;1000;1000;cp:48,ADD:,=:3,+:0,$:450,;[-]0,0",})
Inv2 ({})
Inv3 ({})
Inv4 ({})
Friends ([])
CuThuDaoTime 60
Birthday 1637037745
GameTime 227074
FeeStart 1655055934
FeeTime 572
LoginTime 1654947343
QuitTime 1655055934
QuitIP "127.0.0.1"
Effect ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
IdNumber 3
Id "admin2"
Name "zcs"
Titles ({"C001","X",})
cTitle ""
cTitleCode ""
Apprentices ({})
